country,iso3,year,gdp_per_capita_constant_2015_usd,population_density_per_km2,urbanization_percent,passenger_cars_per_1000,motorization_source
Italy,ITA,1987,25196.9881183266,192.451569140798,66.779494034266,,
Italy,ITA,1988,26241.1619056876,192.544585359219,66.7512501282587,,
Italy,ITA,1989,27109.970559768,192.689065315698,66.7270715012812,,
Italy,ITA,1990,27625.1792306413,192.850430111183,66.709368079219,,
Italy,ITA,1991,28030.7653841073,192.983988983714,66.7007288477386,,
Italy,ITA,1992,28245.4271054692,193.115116793037,66.7046939025797,,
Italy,ITA,1993,27987.4328969281,193.233215463602,66.7268353013949,,
Italy,ITA,1994,28583.6255328648,193.272585087212,66.7649491303665,521.87,OECD/ITF
Italy,ITA,1995,29408.3209572297,193.27565536704,66.8166099473719,533.05,OECD/ITF
Italy,ITA,1996,29795.6597750915,193.329981979531,66.8793923102889,535.87,OECD/ITF
Italy,ITA,1997,30353.3778243995,193.432294039645,66.950870776995,540.48,OECD/ITF
Italy,ITA,1998,30892.1758654455,193.487960286967,67.0286199053679,554.82,OECD/ITF
Italy,ITA,1999,31405.2609007683,193.520509333243,67.1102142532851,562.9,OECD/ITF
Italy,ITA,2000,32609.66746283,192.555434569421,67.1932283786243,572.23,OECD/ITF
Italy,ITA,2001,33243.599343976,192.673361107542,67.27519882288,583.38,OECD/ITF
Italy,ITA,2002,33267.4474482048,193.054951000615,67.3538786566538,590.41,OECD/ITF
Italy,ITA,2003,33110.1698494812,194.101082788332,67.4299414611787,597.75,OECD/ITF
Italy,ITA,2004,33348.9744820456,195.55177229658,67.5072499739908,587.48,OECD/ITF
Italy,ITA,2005,33407.6754716472,196.6964540542,67.5897169318419,596.0,OECD/ITF
Italy,ITA,2006,33873.0493680093,197.484972169432,67.6812550714834,604.41,OECD/ITF
Italy,ITA,2007,34159.9109244074,198.690127080529,67.7857771296669,607.26,OECD/ITF
Italy,ITA,2008,33550.6340800063,200.22853191216,67.9071958431441,609.77,OECD/ITF
Italy,ITA,2009,31587.0638416305,201.392725501999,68.0494239486665,610.72,OECD/ITF
Italy,ITA,2010,31928.5543621096,202.285308976795,68.2163741829857,614.37,OECD/ITF
Italy,ITA,2011,32039.5032494316,202.986767799052,68.4015073889511,618.28,OECD/ITF
Italy,ITA,2012,30953.4147447427,203.542723134878,68.7608794235259,616.01,OECD/ITF
Italy,ITA,2013,30330.0221599668,203.949752805037,69.3073989916076,612.87,OECD/ITF
Italy,ITA,2014,30325.0287793923,203.980505075782,69.5807638614879,614.73,OECD/ITF
Italy,ITA,2015,30639.8829751432,203.672434549131,69.6100006103516,620.15,OECD/ITF
Italy,ITA,2016,31077.6792675211,203.285640373599,69.5969232525286,630.06,OECD/ITF
Italy,ITA,2017,31635.52277108,202.903617635721,69.5180784259382,641.98,OECD/ITF
Italy,ITA,2018,31963.6417148824,202.480812801385,69.4800033569336,648.7,OECD/ITF
Italy,ITA,2019,32180.4341017428,201.980545589195,69.5050010681153,662.08,OECD/ITF
Italy,ITA,2020,29469.7989238626,200.999100491348,69.5187492370606,668.21,OECD/ITF
Italy,ITA,2021,32267.7091050201,199.965416259464,69.4812507629394,673.44,OECD/ITF
Italy,ITA,2022,33891.8866526216,199.559268903016,69.4839779766539,681.42,OECD/ITF
